FID,roof,road,watr,conc,Veg,dry,irr,H,W
203,0.093537415,0.190602167,0,0,0.16313933,0.540627362,0.012093726,4,27.19387755
204,0.052118485,0.074490689,0.004061992,0,0.150418698,0.711098613,0.007811524,4,28.43644544
205,0.005542958,0.081506677,0.0047871,0,0.17132779,0.694633409,0.042202066,4,29.83371126
206,0,0.763605442,0.001007811,0,0.059712774,0.165910809,0.009763165,4,30
207,0.019060117,0.449131359,0.076365454,0,0.079052618,0.170353706,0.206036745,4,29.42819648
208,0.067460317,0.400415722,0.010770975,0,0.126165281,0.197782817,0.197404888,4,27.97619048
209,0.043272865,0.420571932,0.003401361,0,0.070231796,0.378684807,0.083837239,4,28.70181406
210,0.017185352,0.175665542,0.009623797,0,0.157980252,0.318710161,0.320834896,4,29.48443945
211,0.217750063,0.098009574,0.01127488,0,0.15457294,0.335285966,0.183106576,4,23.46749811
212,0.344706912,0.403637045,0.000624922,0,0.101799775,0.128608924,0.020622422,4,19.65879265
213,0.441924918,0.255102041,0,0,0.183547493,0.089821114,0.029604434,4.419249181,16.74225246
214,0.188850967,0.155353306,0.000252813,0,0.209960814,0.339780053,0.105802048,4,24.33447099
215,0,0,0,0,0,1,0,4,30
216,0,0,0,0,0,1,0,4,30
217,0,0,0,0,0,1,0,4,30
218,0,0,0,0,0,1,0,4,30
219,0,0,0,0,0,1,0,4,30
220,0,0,0,0,0,1,0,4,30
221,0,0,0,0,0,1,0,4,30
222,0,0,0,0,0,1,0,4,30
223,0,0,0,0,0,1,0,4,30
224,0,0,0,0,0,1,0,4,30
225,0,0.776266062,0.016565886,0,0.05165029,0.130133535,0.025384228,4,30
226,0,0,0.519247594,0,0.214285714,0.092925884,0.173540807,4,30
227,0,0,0.513857395,0,0.174666163,0.157911313,0.15356513,4,30
228,0,0,0.372953381,0,0.285214348,0.195225597,0.146606674,4,30
229,0.022675737,0.083648274,0.183862434,0,0.23154447,0.349332326,0.12893676,4,29.31972789
230,0.032186949,0.121882086,0.002582514,0,0.147266314,0.431783825,0.264298312,4,29.03439153
231,0.016872891,0.416385452,0.128233971,0,0.11336083,0.229096363,0.096050494,4,29.49381327
232,0.248425296,0.195389267,0.13372386,0,0.130763416,0.206160242,0.085537919,4,22.54724112
233,0.430524061,0.289430587,0,0,0.097442681,0.166288738,0.016313933,4.305240615,17.08427816
234,0.496812898,0.264029496,0,0,0.1087989,0.116172978,0.014185727,4.968128984,15.09561305
235,0.403187201,0.345049131,0,0,0.114953389,0.131582263,0.005228017,4.031872008,17.90438398
236,0.391076115,0.265216848,0.00199975,0,0.168603925,0.150731159,0.022372203,4,18.26771654
237,0.041950113,0.707420005,0.003464349,0,0.069223986,0.165091963,0.012849584,4,28.7414966
238,0.000377929,0.668115394,0.06670446,0,0.016124969,0.208490804,0.040186445,4,29.98866213
239,0.004999375,0.022059743,0.134795651,0,0.061429821,0.463879515,0.312835896,4,29.85001875
240,0.10258744,0.550188532,0.01976336,0,0.074632688,0.200299051,0.05252893,4,26.9223768
241,0.264954012,0.574563907,0.000253727,0,0.048398351,0.104218205,0.007611798,4,22.05137964
242,0.092686595,0.368928997,0.000564016,0,0.044807921,0.469574481,0.02343799,4,27.21940214
243,0.011148904,0.219639708,0.009196271,0,0.131015369,0.494771983,0.134227765,4,29.66553288
244,0.080977989,0.343546773,0.007378689,0,0.117121061,0.233616808,0.217358679,4,27.57066033
245,0.183169564,0.166288738,0.031368103,0,0.122385991,0.318657092,0.178130511,4,24.50491308
246,0.072152312,0.192515117,0.128534074,0,0.260009806,0.268262788,0.078525903,4,27.83543063
247,0.009086561,0.168818747,0.067910091,0,0.301291248,0.418938307,0.033955045,4,29.72740316
248,0,0,0,0,0,1,0,4,30
249,0,0,0,0,0,1,0,4,30
250,0,0,0,0,0,1,0,4,30
251,0,0,0,0,0,1,0,4,30
252,0,0,0,0,0,1,0,4,30
253,0,0,0,0,0,1,0,4,30
254,0,0,0,0,0,1,0,4,30
255,0,0,0,0,0,1,0,4,30
256,0,0,0,0,0,1,0,4,30
257,0,0,0.000374953,0,0.084364454,0.033808274,0.017685289,4,30
258,0,0.017112034,0.406658813,0,0.183644367,0.143344287,0.249240498,4,30
259,0,0,0.481314836,0,0.275653043,0.136982877,0.106049244,4,30
260,0,0,0.503007006,0,0.259160518,0.181598363,0.056234112,4,30
261,0.08280215,0.280089989,0.228408949,0,0.126109236,0.215723035,0.066866642,4,27.51593551
262,0.000874891,0.470441195,0.08023997,0,0.073303337,0.282589676,0.092550931,4,29.97375328
263,0.232438465,0.105462211,0.25996652,0,0.127782256,0.179304359,0.09504619,4,23.02684605
264,0.298837645,0.261654793,0.067741532,0,0.134358205,0.151981002,0.085426822,4,21.03487064
265,0.417572803,0.250468691,0.000124984,0,0.143044619,0.130296213,0.058492688,4.175728034,17.4728159
266,0.427800856,0.34478269,0,0,0.099324199,0.116808234,0.011284023,4.278008556,17.16597433
267,0.385326834,0.236407949,0.001499813,0,0.117735283,0.226596675,0.032433446,4,18.44019498
268,0.061938124,0.66005332,0.002914006,0,0.07508215,0.185876372,0.014136028,4,28.14185628
269,0,0.891451069,0.020934883,0,0.001874766,0.080052493,0.005686789,4,30
270,0.09423822,0.164104487,0.170041245,0,0.067929009,0.454818148,0.048868891,4,27.17285339
271,0.205716411,0.10986422,0.058838118,0,0.074338149,0.444044888,0.107198214,4,23.82850766
272,0.000999875,0.066491689,0.046744157,0,0.160792401,0.322147232,0.402824647,4,29.97000375
273,0.4071991,0.302712161,0.000249969,0,0.058305212,0.224034496,0.007499063,4.071991001,17.784027
274,0.223772321,0.363095238,0,0,0.069258433,0.338479663,0.005394345,4,23.28683036
275,0.120297463,0.228346457,0,0,0.075990501,0.566741657,0.008623922,4,26.39107612
276,0.009610019,0.246140492,0.003410007,0,0.092442185,0.605307211,0.043090086,4,29.71169942
277,0.037620297,0.3912011,0.066679165,0,0.114485689,0.325209349,0.064804399,4,28.87139108
278,0.080364954,0.323147107,0.08767654,0,0.226409199,0.20616173,0.07624047,4,27.58905137
279,0.132231405,0.304276532,0.044273908,0,0.167912895,0.297783025,0.053522235,4,26.03305785
280,0.175907258,0.400369624,0.023017473,0,0.142473118,0.235551075,0.022681452,4,24.72278226
281,0,1,0,0,0,0,0,4,30
282,0,0,0,0,0,1,0,4,30
283,0,0,0,0,0,1,0,4,30
284,0,0,0,0,0,1,0,4,30
285,0,0,0,0,0,1,0,4,30
286,0,0,0,0,0,1,0,4,30
287,0,0,0,0,0,1,0,4,30
288,0,0,0,0,0,1,0,4,30
289,0,0.851977828,0,0,0.065507685,0.060216679,0.022297808,4,30
290,0,0.079615048,0.35064367,0,0.11136108,0.137982752,0.32039745,4,30
291,0,0,0.317397329,0,0.28999748,0.272801713,0.119803477,4,30
292,0,0,0.578677665,0,0.192288464,0.181539808,0.047494063,4,30
293,0.000377929,0.257369615,0.414021164,0,0.080120937,0.213529856,0.034580499,4,29.98866213
294,0.0287226,0.302973041,0.362748803,0,0.092592593,0.119488536,0.093474427,4,29.138322
295,0.427321585,0.237970254,0.007936508,0,0.094363205,0.204474441,0.027934008,4.273215848,17.18035246
296,0.398526077,0.297367095,0.028281683,0,0.132968002,0.09952129,0.043335853,4,18.04421769
297,0.253968254,0.227513228,0.069601915,0,0.110922147,0.247102545,0.090891912,4,22.38095238
298,0.132795901,0.171228596,0.029621297,0,0.096550431,0.522122235,0.04768154,4,26.01612298
299,0.067775258,0.542013102,0.005983875,0,0.083711262,0.287666919,0.012849584,4,27.96674225
300,0,0.992250969,0.000624922,0,0,0.007124109,0,4,30
301,0.008692366,0.25888133,0.277210884,0,0.051209373,0.35260771,0.051398337,4,29.73922902
302,0.330624843,0.202066012,0.10909549,0,0.142668178,0.184303351,0.031242126,4,20.08125472
303,0.303524559,0.21872266,0.001749781,0,0.119985002,0.344581927,0.01143607,4,20.89426322
304,0.168745276,0.130133535,0.0095742,0,0.091962711,0.429768204,0.169816075,4,24.93764172
305,0.134396068,0.146619621,0.025140193,0,0.127906244,0.467960431,0.097977443,4,25.96811795
306,0.42272102,0.41490559,0,0,0.058709516,0.099537326,0.004126547,4.227210204,17.31836939
307,0.434746679,0.442120653,0,0,0.082512237,0.036679169,0.003941262,4.347466785,16.95759964
308,0.019685039,0.345581802,0.009061367,0,0.179352581,0.426196725,0.020122485,4,29.40944882
309,0.222915092,0.354245402,0.040879315,0,0.162824389,0.144935752,0.07420005,4,23.31254724
310,0.29207609,0.262093726,0.021856891,0,0.106261023,0.268896447,0.048815823,4,21.23771731
311,0.262779653,0.19960005,0.024434446,0,0.081114861,0.404199475,0.027871516,4,22.11661042
312,0.240677753,0.081947594,0.021478962,0,0.070609725,0.563177123,0.022108844,4,22.77966742
313,0.092398983,0.113968164,0.059809739,0,0.316756146,0.356974663,0.060092305,4,27.22803052
314,0.002671416,0.158504007,0.010685663,0,0.593944791,0.217275156,0.016918967,4,29.91985752
315,0,0,0,0,0,1,0,4,30
