FID,roof,road,watr,conc,Veg,dry,irr,H,W
5504,0,0,0.012307692,0,0.438461539,0.376923077,0.172307692,0,30
5505,0,0,0.003076923,0,0.543076923,0.241538462,0.212307692,0.184,28.8
5506,0.503092035,0,0,0.118446426,0.323076924,0.055384615,0,2.915692308,10.98461538
5507,0.510961145,0,0,0.109038855,0.264615384,0.115384615,0,2.852,11.4
5508,0.464706042,0,0,0.214288041,0.25443787,0.065088757,0.00147929,2.53816568,13.44674556
5509,0.176467237,0,0,0.203532763,0.32,0.264615385,0.035384615,1.153538462,22.47692308
5510,0,0,0.635384615,0,0.155384616,0.195384615,0.013846154,0,30
5511,0,0,0.581538462,0,0.183076922,0.173846154,0.061538462,0.084923077,29.44615385
5512,0,0,0.563076923,0,0.24,0.196923077,0,0,30
5513,0,0,0.542899408,0,0.150887573,0.267751479,0.038461538,0,30
5514,0,0,0.646153846,0,0.104615384,0.22,0.029230769,0,30
5515,0,0,0.758461538,0,0.096923077,0.144615385,0,0,30
5516,0,0,0.835384615,0,0.098461539,0.047692308,0.018461538,0.015384615,29.95384615
5517,0,0,0.107692308,0.181538461,0.347692308,0.336923077,0.026153846,0,30
5518,0.000688042,0,0.00591716,0.265584147,0.612426036,0.115384615,0,0.014792899,29.9556213
5519,0,0,0.064615385,0,0.773846153,0.153846154,0.007692308,0.384615385,28.84615385
5520,0,0,0.053846154,0,0.756923077,0.186153846,0.003076923,0.107692308,29.67692308
5521,0,0,0.044615385,0,0.787692307,0.073846154,0.093846154,0.523076923,28.43076923
5522,0.877644701,0,0,0.011586068,0.11076923,0,0,9.323076923,2.030769231
5523,0.790904359,0,0,0.089273155,0.106508876,0.013313609,0,8.387573964,4.837278107
5524,0.870963481,0,0.004615385,0.004421135,0.076923076,0.043076923,0,9.092307692,2.723076923
5525,0,0,0.012307692,0,0.127692308,0.527692308,0.332307692,0.384615385,28.84615385
5526,0,0,0.018461538,0.049230769,0.652307692,0.216923077,0.063076923,0,30
5527,0,0,0,0.239644971,0.642011834,0.096153846,0.022189349,0,30
5528,0,0,0.018461538,0.238461539,0.452307692,0.289230769,0.001538462,0,30
5529,0.007298748,0,0.012307692,0.097316637,0.716923076,0.073846154,0.092307692,0.323076923,29.03076923
5530,0,0,0.004615385,0,0.295384616,0.203076923,0.496923077,0.215384615,29.35384615
5531,0.008846154,0,0.02,0.011153846,0.12,0.806153846,0.033846154,0.353846154,28.93846154
5532,0,0,0.01035503,0,0.275147929,0.713017751,0.00147929,0.029585799,29.9112426
5533,0,0,0.070769231,0,0.463076924,0.410769231,0.055384615,0.107692308,29.67692308
5534,0,0,0.161538462,0,0.364615385,0.452307692,0.021538462,0.046153846,29.86153846
5535,0,0,0.036923077,0,0.24,0.721538462,0.001538462,0.2,29.4
5536,0,0,0.078461538,0,0.153846154,0.74,0.027692308,0.169230769,29.49230769
5537,0,0,0.01035503,0,0.150887574,0.829881657,0.00887574,0.029585799,29.9112426
5538,0,0,0,0,0,1,0,0,30
5539,0,0,0,0.001538461,0.00923077,0.989230769,0,0,30
5540,0,0,0.003076923,0.024615384,0.00923077,0.963076923,0,0,30
5541,0,0,0,0.012307692,0,0.987692308,0,0,30
5542,0,0,0,0.23224852,0.0147929,0.75295858,0,0,30
5543,0.013226721,0,0.003076923,0.443696356,0.255384616,0.156923077,0.127692308,0.169230769,29.49230769
5544,0,0,0.003076923,0,0.153846154,0.552307692,0.290769231,0.138461538,29.58461538
5545,0.000911681,0,0.010769231,0.023703704,0.033846154,0.930769231,0,0.015384615,29.95384615
5546,0.001635005,0,0.00591716,0.008720025,0.035502958,0.948224852,0,0.044378698,29.86686391
